,time period,learner,assessor,double-assessment,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,B-2,B-3,B-4,B-5,B-6,B-9
0,1,L-A,A-S,,1,A,2,1,1,2,1,1,,"blood sampling,establish peripheral vascular access, make admission note",3,2.4,2.4,3.142857142857143,4,2.5,2.25
1,1,L-T,A-S,,1,A,1,1,0,0,1,1,,"establish peripheral vascular access, make admission note",2,1.6,1.6,1.7142857142857142,4,2.5,1.25
2,2,L-M,A-S,,0,,1,1,1,2,2,3,,"establish peripheral vascular access, transfer patients",3,2.4,2.4,2.2857142857142856,1,1.0,4.0
3,2,L-A,A-S,,1,A,2,1,3,2,2,3,,"establish peripheral vascular access, make admission note, make a plan for cntroling blood suger",4,3.2,3.2,4.285714285714286,4,2.5,4.0
4,2,L-T,A-S,,1,A,2,1,1,2,2,3,,"establish peripheral vascular access, make admission note",3,2.4,2.4,3.142857142857143,4,2.5,4.0
5,3,L-H,A-K,,1,A,2,1,2,3,2,3,,"establish peripheral vascular access, make admission note",4,3.2,3.2,3.7142857142857144,4,2.5,4.5
6,3,L-T,A-K,1.0,1,A,2,2,2,2,2,3,,make initial assessment on admission,4,3.2,3.2,4.571428571428571,4,2.5,4.0
7,3,L-T,A-O,1.0,1,A,2,1,2,3,2,3,,make a document related to admission,4,3.2,3.2,3.7142857142857144,4,2.5,4.5
8,5,L-H,A-O,,1,A,2,1,2,2,1,3,,make a document related to admission,4,3.2,3.2,3.7142857142857144,4,2.5,3.25
9,6,L-H,A-O,,1,A,2,1,2,2,2,3,,make a document related to admission,4,3.2,3.2,3.7142857142857144,4,2.5,4.0
10,6,L-K,A-O,,1,,2,1,1,1,1,2,,make a document related to admission,3,2.4,2.4,3.142857142857143,4,1.0,2.25
11,7,L-K,A-S,,1,A,1,2,1,1,1,1,,"establish peripheral vascular access,",2,1.6,1.6,3.142857142857143,4,2.5,1.75
12,7,L-H,A-S,,1,A,1,2,2,2,2,3,,"establish peripheral vascular access,communicate with doctors in other departments, make initial assessment on admission",4,3.2,3.2,3.7142857142857144,4,2.5,4.0
13,8,L-K,A-K,,1,A,1,1,1,2,1,3,,"history taking, physical examincation, make initial assessment, search artibles",3,2.4,2.4,2.2857142857142856,4,2.5,3.25
14,8,L-Y,A-K,,1,A,1,1,2,3,2,3,,"establish peripheral vascular access,make a plan for laboratory examincation",4,3.2,3.2,2.857142857142857,4,2.5,4.5
15,9,L-KR,A-S,,1,A,2,1,1,2,2,2,,"establish peripheral root, order blood test, consultation to specialists",4,3.2,3.2,3.142857142857143,4,2.5,3.5
16,10,L-KA,A-O,,1,,2,2,3,3,1,3,,make a document related to admission,4,3.2,3.2,5.142857142857143,4,1.0,3.75
17,10,L-W,A-O,,1,,2,1,1,3,1,1,,make a document related to admission,3,2.4,2.4,3.142857142857143,4,1.0,2.75
18,11,L-I,A-S,,1,A,2,1,2,2,2,2,,"establish peripheral vascular access,communicate with medical social worker, make initial assessment on admission",3,2.4,2.4,3.7142857142857144,4,2.5,3.5
19,11,L-T,A-S,,1,A,2,1,1,2,1,1,,"establish peripheral vascular access, make initial assessment on admission",3,2.4,2.4,3.142857142857143,4,2.5,2.25
