ID,speaker,text
D-3,interviewer,"Doctor, can you tell me something for confirmation?"
D-4,interviewee,Aioi.
D-5,interviewer,"Let us begin. First of all, I don't know who else is doing the research, so please tell me what your role is here in the Department of General Medicine."
D-6,interviewee,"One is to manage the ward as a whole, since I am the chief of the ward, and the other is to be directly involved with the early trainees, which I have been doing for the past six months."
D-7,interviewer,Thank you very much. How long have you been here?
D-8,interviewee,I've been at the university for about 12 years.
D-9,interviewer,"That's quite a long time. First of all, what are your thoughts on evaluation in general?"
D-10,interviewee,Are you talking about the evaluation of residents?
D-11,interviewer,Something a little more general would be fine.
D-12,interviewee,"I think it is important to be able to see what you are trying to evaluate. For example, if you are evaluating a resident, it is important to be able to see what aspect of the resident you are trying to evaluate from the chart, and to be able to see it when you are adding the information."
D-13,interviewee,The other thing is that it is not too long. It should not take a long time.
D-14,interviewee,"Also, if there is too much of a discrepancy between the general impression of the resident, or even the late resident, and the level of evaluation on the evaluation chart, it can be unpleasant."
D-15,interviewer,Is it possible that there is a discrepancy?
D-16,interviewee,"Yes, I think there is a divergence. If there is a discrepancy between what we are looking for in residents and what we are looking for in someone else, and what we are looking for in the evaluation form, there will inevitably be a discrepancy between the impression of the evaluation result and the evaluation result."
D-17,interviewer,"I see. Thank you very much. Please tell us about your own past evaluations, and what kind of evaluations you have experienced, both for the person doing the evaluation and the person being evaluated."
D-18,interviewee,"I think I'm from a generation that hasn't had much experience with direct evaluation. I don't think I've ever been evaluated on more than the level of whether or not I have a certain knowledge, rather than through tests or free-text evaluations."
D-19,interviewee,"My experience in evaluation, especially in terms of educational evaluation, is that I have been evaluating residents and majoring physicians since I came to Nagoya University in 2009."
D-20,interviewer,"Thank you very much. Let's move on to this topic. This is one of the things I'm asking you to do. I've brought this here for your reference, so please take a look at it and let me know what you think about it."
D-21,interviewee,"I think that the evaluation is quite multifaceted, and especially in the item 2 of the research evaluation table, it is rather clear what level to check and how much to check, so I think it is easy to apply, and I think it is good in that it is multifaceted."
D-22,interviewee,"However, there is not much in the way of evaluation items such as how you have been involved in medical treatment or something, how you have been involved and faced problems, and how you have endured them. If you are doing what you are told to do to a certain extent, and if you can do desk work, your evaluation will be somewhat high. I think they don't appreciate the toughness to face the patient's problem and find the problem and solve it while suffering."
D-23,interviewer,I see. What is it about that in particular?
D-24,interviewee,"I don't think that people appreciate the fact that you find problems on your own, for example. It seemed to me that if someone told you to do something and you did some research on it, you would get a good evaluation."
D-25,interviewer,Thank you very much.
D-26,interviewee,"In the evaluation table 3, there are some things that could be evaluated if you wanted to, but in the evaluation table 2, which takes up a lot of space, I didn't really feel that part."
D-27,interviewer,"As you mentioned, there are three major parts, 1, 2, and 3, but how do these three parts differ from the teacher's point of view?"
D-28,interviewee,"The first part is basically attitude. As for the third, I understand it as a general evaluation. That's how I interpreted it from the letter."
D-29,interviewer,"From your point of view, what are the strengths and weaknesses of this evaluation method?"
D-30,interviewee,"From your point of view, what are the strengths and weaknesses of this method of evaluation? In terms of strengths, I think the multifaceted nature of evaluation is a strength, but I am not sure. For example, in the case of young doctors in particular, I think we need to properly evaluate their positive vectors, such as whether they are getting closer to being able to do something, rather than whether they are able to do something. I think we need to change our approach accordingly."
D-31,interviewee,"In terms of the evaluation to determine the pass/fail line, I think I've got it down pretty comprehensively."
